"Question","GoodAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3","Image"
"В какой стране находится самая высокая столица в мире?","Боливия","Перу","Эквадор","Узбекистан"
"Какой город является известным районом Голливуда?","Лос-Анджелес","Лас-Вегас","Сан-Франциско","Нью-Йорк"
"Из какой крупы делают макароны в Италии?","Пшеница","Гречка","Рис","Овёс"
"Как зовут клоуна, символа McDonald's?","Рональд","Дональд","Боб","Клоуни"
"Что нарисовал Леонардо да Винчи?","Парашют","Водные лыжи","Батут","Самокат"
"Какого цвета Стич, друг Лило?","Синий","Зелёный","Фиолетовый","Жёлтый"
"Какая техника плавания самая быстрая на соревнованиях?","Кроль","Брасс","На спине","Баттерфляй"
"Кто написал «К Элизе»?","Бетховен","Моцарт","Бах","Шопен"
"Какой объём у барреля нефти?","159 литров","99 литров","129 литров","189 литров"
"Сколько клеток на игровом поле Монополии?","40","32","64","52"
"Какая страна первой подверглась вторжению во Второй мировой войне?","Польша","Австрия","Дания","Бельгия"
"Что измеряется в децибелах?","Громкость звука","Объём звука","Расстояние до источника звука","Ущерб от звука для слуха человека"
"На каком языке говорят в Перу?","Испанский","Португальский","Английский","Перуанский"
"Из какой семьи животных является черепаха?","рептилии","амфибии","рыбы","птицы"
"В какой стране можно посетить Стамбул или Анкару?","Турция","Тунис","Венгрия","Грузия"
"В каком городе звёзды кино ежегодно поднимаются по лестнице дворца фестивалей?","Ницца","Канны","Марсель","Монако"
"Какая планета является самой маленькой в Солнечной системе?","Меркурий","Плутон","Марс","Земля"
"Кто был первым европейцем, который навигировал по Тихому океану?","Фердинанд Магеллан","Васко да Гама","Америго Веспуччи","Христофор Колумб"
"Какая река разделяла древние города Буда и Пешт?","Дунай","Рейн","Рона","Эльба"
"Сколько звёзд на флаге США?","50","60","64","46"
"Какой этаж часто пропускают в лифтах Южной Кореи, так как он считается несчастливым?","4-й","13-й","666-й","7-й"
"Как зовут учёного Коперника?","Николай","Павел","Блез","Александр"
"Какое основное производство в Саудовской Аравии?","нефть","золото","редкие металлы","серебро"
"У какого острова, рая для серферов, есть столица Гонолулу?","Гавайи","Полинезия","Бали","Индонезия"
"У какой породы собак проводят гонки?","гривен","пастушьи","лабрадоры","хаски"
"В какой стране можно увидеть кружевные платья танцовщиц фламенко?","Испания","Португалия","Аргентина","Бразилия"
"Какая столица Испании?","Мадрид","Толедо","Барселона","Валенсия"
"Какой американский штат был продан США Александром II?","Аляска","Техас","Флорида","Вашингтон"
"Какой уровень является первым в Geometry Dash?","Stereo Madness","ReTraY","Back on Track","Polargeist"
"Какая самая длинная река в Африке?","Нил","Конго","Нигер","Замбези"
"Какая планета Солнечной системы находится ближе всего к Солнцу?","Меркурий","Венера","Земля","Марс"
"В каком году произошло падение Берлинской стены?","1989","1991","1987","1990"
"Как называется столица Австралии?","Канберра","Сидней","Мельбурн","Брисбен"
"Какой основной ингредиент в хумусе?","Нут","Чечевица","Фасоль","Горох"
"Кто написал картину «Мона Лиза»?","Леонардо да Винчи","Микеланджело","Рафаэль","Караваджо"
"Какое животное является национальным символом Китая?","Панда","Дракон","Тигр","Змея"
"Какой город называют «Большое Яблоко»?","Нью-Йорк","Чикаго","Лос-Анджелес","Сан-Франциско"
"Сколько дней в високосном году?","366","365","364","368"
"Какой самый большой океан на планете?","Тихий","Атлантический","Индийский","Арктический"
"Какой официальный язык в Бразилии?","Португальский","Испанский","Бразильский","Английский"
"Какой композитор написал «Лебединое озеро»?","Чайковский","Бетховен","Моцарт","Бах"
"В какой стране находится город Марракеш?","Марокко","Тунис","Алжир","Египет"
"Какая официальная валюта Японии?","Йена","Вон","Юань","Рингит"
"Какой самый большой пустыня в мире?","Сахара","Антарктика","Гоби","Калахари"
"Какой химический элемент имеет символ Au?","Золото","Серебро","Железо","Свинец"
"Какая столица Италии?","Рим","Милан","Неаполь","Венеция"
"Какое самое большое наземное млекопитающее?","Слон","Жираф","Носорог","Бегемот"
"Какой фрукт в основном используется для производства вина?","Виноград","Яблоко","Вишня","Слива"
"В какой стране находится Эйфелева башня?","Франция","Италия","Испания","Германия"
"Какой химический элемент обозначается буквой «H»?","Водород","Гелий","Ртуть","Гидроксид"
"Какая планета известна своими кольцами?","Сатурн","Нептун","Уран","Юпитер"
"Какой самый большой океан на планете?","Тихий","Атлантический","Индийский","Арктический"
