"Question","GoodAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3","Image"
"In which country is the highest capital city in the world located?","Bolivia","Peru","Ecuador","Uzbekistan"
"What city is Hollywood a famous district of?","Los Angeles","Las Vegas","San Francisco","New York"
"From which cereal is pasta made in Italy?","Wheat","Buckwheat","Rice","Oats"
"What is the name of the clown, emblem of McDonald's?","Ronald","Donald","Bob","Clowny"
"What did Leonardo da Vinci draw?","The parachute","Water skiing","The trampoline","A scooter"
"What color is Stitch, Lilo's friend?","Blue","Green","Violet","Yellow"
"What is the fastest swimming technique in competition?","Freestyle","Breaststroke","Backstroke","Butterfly"
"Who composed «For Elise»?","Beethoven","Mozart","Bach","Chopin"
"What is the capacity of an oil barrel?","159 L","99 L","129 L","189 L"
"How many squares do players move on the Monopoly board?","40","32","64","52"
"What was the first country invaded during World War II?","Poland","Austria","Denmark","Belgium"
"What does the decibel measure?","Sound height","Sound volume","Distance to the sound emitter","Damage of sound to human ear"
"What is the language spoken in Peru?","Spanish","Portuguese","English","Peruvian"
"Which animal family does the turtle belong to?","Reptiles","Amphibians","Fish","Birds"
"In which country can you visit Istanbul or Ankara?","Turkey","Tunisia","Hungary","Georgia"
"In which city do movie stars climb the steps of the Palais des Festivals each year?","Cannes","Nice","Marseille","Monaco"
"What is the smallest planet in the solar system?","Mercury","Pluto","Mars","Earth"
"Who was the first European to navigate the Pacific Ocean?","Ferdinand Magellan","Vasco da Gama","Amerigo Vespucci","Christopher Columbus"
"What river separated the ancient cities of Buda and Pest?","The Danube","The Rhine","The Rhône","The Elbe"
"How many stars are on the American flag?","50","60","64","46"
"Which floor is often omitted in South Korean elevators because it is considered unlucky?","4th","13th","666th","7th"
"What is the first name of the scientist Copernicus?","Nicolas","Paul","Blaise","Alexandre"
"What is the main production of Saudi Arabia?","Oil","Gold","Rare metals","Silver"
"From which island, a paradise for surfers, is Honolulu the capital?","Hawaii","Polynesia","Bali","Indonesia"
"With which breed of fast dogs are races organized?","Greyhounds","Shepherds","Labradors","Huskies"
"In which country can you admire the swirling dresses of flamenco dancers?","Spain","Portugal","Argentina","Brazil"
"What is the capital of Spain?","Madrid","Toledo","Barcelona","Valencia"
"Which American state was sold to the United States of America by Alexander II?","Alaska","Texas","Florida","Washington"
"What is the first level of Geometry Dash?","Stereo Madness","ReTraY","Back on Track","Polargeist"
"What is the longest river in Africa?","The Nile","The Congo","The Niger","The Zambezi"
"Which planet in the solar system is closest to the Sun?","Mercury","Venus","Earth","Mars"
"In what year did the fall of the Berlin Wall occur?","1989","1991","1987","1990"
"What is the name of the capital of Australia?","Canberra","Sydney","Melbourne","Brisbane"
"What is the main ingredient in hummus?","Chickpeas","Lentils","Beans","Peas"
"Who painted the Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Caravaggio"
"What animal is the national symbol of China?","Panda","Dragon","Tiger","Snake"
"What city is nicknamed «The Big Apple»?","New York","Chicago","Los Angeles","San Francisco"
"How many days are there in a leap year?","366","365","364","368"
"What is the largest ocean on the planet?","Pacific","Atlantic","Indian","Arctic"
"What is the official language of Brazil?","Portuguese","Spanish","Brazilian","English"
"Which composer wrote «Swan Lake»?","Tchaikovsky","Beethoven","Mozart","Bach"
"In which country is the city of Marrakech located?","Morocco","Tunisia","Algeria","Egypt"
"What is the official currency of Japan?","Yen","Won","Yuan","Ringgit"
"What is the largest desert in the world?","The Sahara","Antarctica","The Gobi","The Kalahari"
"What is the chemical symbol for gold?","Au","Ag","Fe","Pb"
"What is the capital of Italy?","Rome","Milan","Naples","Venice"
"What is the largest land mammal?","Elephant","Giraffe","Rhinoceros","Hippopotamus"
"What fruit is primarily used to produce wine?","Grapes","Apple","Cherry","Plum"
"In which country is the Eiffel Tower located?","France","Italy","Spain","Germany"
"What chemical element has the symbol «H»?","Hydrogen","Helium","Mercury","Hydroxide"
"Which planet is known for its rings?","Saturn","Neptune","Uranus","Jupiter"
"What is the largest ocean on the planet?","Pacific","Atlantic","Indian","Arctic"
