"Питання","ПравильнаВідповідь","ПоганаВідповідь1","ПоганаВідповідь2","ПоганаВідповідь3"
"Яка країна продала Луїзіану США?","Франція","Канада","Мексика","Куба"
"Що допомагає летючій миші орієнтуватися в темряві?","Вуха","Очі","Ніс","Вуса"
"Який колір представляє Океанію на олімпійському прапорі?","Зелений","Синій","Чорний","Червоний"
"Скільки рукояток на столі настільного футболу?","8","6","4","10"
"Яка столиця Німеччини?","Берлін","Мюнхен","Франкфурт","Дортмунд"
"Яка планета відома як «Червона планета»?","Марс","Юпітер","Сатурн","Меркурій"
"Яка річка має найпотужніший потік у світі?","Амазонка","Дунай","Ніл","Рейн"
"Скільки пальців у коня?","4","12","16","20"
"В якій країні знаходиться найвища столиця у світі?","Болівія","Перу","Еквадор","Узбекистан"
"Яке місто має відомий район Голлівуд?","Лос-Анджелес","Лас-Вегас","Сан-Франциско","Нью-Йорк"
"З якої крупи роблять макарони в Італії?","Пшениця","Гречка","Рис","Вівсянка"
"Як звати клоуна, символа McDonald's?","Рональд","Дональд","Боб","Клоуні"
"Що намалював Леонардо да Вінчі?","Парашут","Водні лижі","Самокат","Батут"
"Какого цвета Стич, друг Лило?","Синій","Зелений","Фіолетовий","Жовтий"
"Яка техніка плавання найшвидша на змаганнях?","Кроль","Брас","На спині","Батерфляй"
"Хто написав «До Елізи»?","Бетховен","Моцарт","Бах","Шопен"
"Який об'єм бареля нафти?","159 літрів","99 літрів","129 літрів","189 літрів"
"Скільки клітин на ігровому полі Монополії?","40","32","64","52"
"Яка країна першою зазнала вторгнення під час Другої світової війни?","Польща","Австрія","Данія","Бельгія"
"Що вимірюється в децибелах?","Гучність звуку","Об'єм звуку","Відстань до джерела звуку","Шкода звуку для слуху людини"
"Якою мовою говорять в Перу?","Іспанська","Португальська","Англійська","Перуанська"
"До якого сімейства тварин належить черепаха?","Рептилії","Амфібії","Риби","Птахи"
"В якій країні можна відвідати Стамбул або Анкару?","Туреччина","Туніс","Угорщина","Грузія"
"В якому місті кінозірки щорічно піднімаються сходами палацу фестивалів?","Ніцца","Канни","Марсель","Монако"
"Яка планета є найменшою в Сонячній системі?","Меркурій","Плутон","Марс","Земля"
"Хто був першим європейцем, який плавав у Тихому океані?","Фердинанд Магеллан","Васко да Гама","Амеріго Веспуччі","Христофор Колумб"
"Яка річка розділяла стародавні міста Буда і Пешт?","Дунай","Рейн","Рона","Ельба"
"Скільки зірок на прапорі США?","50","60","64","46"
"Який поверх часто пропускають у ліфтах Південної Кореї, оскільки він вважається нещасливим?","4-й","13-й","666-й","7-й"
"Як звати вченого Коперника?","Миколай","Павло","Блез","Олександр"
"Яке основне виробництво в Саудівській Аравії?","Нафта","Золото","Рідкісні метали","Срібло"
"У якого острова, раю для серферів, є столиця Гонолулу?","Гаваї","Полінезія","Балі","Індонезія"
"З якою породи собак проводять перегони?","Хорти","Вівчарки","Лабрадори","Хаскі"
"В якій країні можна побачити мереживні сукні танцівниць фламенко?","Іспанія","Португалія","Аргентина","Бразилія"
"Яка столиця Іспанії?","Мадрид","Толедо","Барселона","Валенсія"
"Який американський штат був проданий США Олександром II?","Аляска","Техас","Флорида","Вашингтон"
"Який рівень є першим у Geometry Dash?","Stereo Madness","ReTraY","Back on Track","Polargeist"
"Яка найдовша річка в Африці?","Ніл","Конго","Нігер","Замбезі"
"Яка планета Сонячної системи розташована найближче до Сонця?","Меркурій","Венера","Земля","Марс"
"В якому році сталося падіння Берлінської стіни?","1989","1991","1987","1990"
"Як називається столиця Австралії?","Канберра","Сідней","Мельбурн","Брісбен"
"Який основний інгредієнт у хумусі?","Нут","Чечевиця","Квасоля","Горох"
"Хто написав картину «Мона Ліза»?","Леонардо да Вінчі","Мікеланджело","Рафаель","Караваджо"
"Яка тварина є національним символом Китаю?","Панда","Дракон","Тигр","Змія"
"Яке місто називають «Велике яблуко»?","Нью-Йорк","Чикаго","Лос-Анджелес","Сан-Франциско"
"Скільки днів у високосному році?","366","365","364","368"
"Який найбільший океан на планеті?","Тихий","Атлантичний","Індійський","Арктичний"
"Яка офіційна мова в Бразилії?","Португальська","Іспанська","Бразилська","Англійська"
"Який композитор написав «Лебедине озеро»?","Чайковський","Бетховен","Моцарт","Бах"
"В якій країні знаходиться місто Марракеш?","Марокко","Туніс","Алжир","Єгипет"
"Яка офіційна валюта Японії?","Єна","Вон","Юань","Ринггіт"
"Яка найбільша пустеля в світі?","Сахара","Антарктика","Гобі","Калахарі"
"Який хімічний елемент має символ Au?","Золото","Срібло","Залізо","Свинець"
"Яка столиця Італії?","Рим","Мілан","Неаполь","Венеція"
"Яке найбільше наземне ссавець?","Слон","Жираф","Носоріг","Бегемот"
"Який фрукт в основному використовується для виробництва вина?","Виноград","Яблуко","Вишня","Слива"
"В якій країні знаходиться Ейфелева вежа?","Франція","Італія","Іспанія","Німеччина"
"Який хімічний елемент позначається літерою «H»?","Водень","Гелій","Ртуть","Гідроксид"
"Яка планета відома своїми кільцями?","Сатурн","Нептун","Уран","Юпітер"
"Який найбільший острів на землі?","Гренландія","Австралія","Мадагаскар","Нова Гвінея"
